"Date","Open","High","Low","Close"
"Oct 03, 2022","$19.11","$20.81","$19.06","$20.80"
"Sep 30, 2022","$18.85","$19.30","$18.78","$19.04"
"Sep 29, 2022","$18.94","$18.94","$18.50","$18.86"
"Sep 28, 2022","$18.48","$18.98","$17.97","$18.94"
"Sep 12, 2022","$19.89","$19.93","$19.81","$19.81"
"Sep 07, 2022","$18.05","$18.57","$17.85","$18.56"
"Sep 06, 2022","$18.17","$18.60","$17.95","$18.10"
"Sep 05, 2022","$18.04","$18.26","$17.95","$18.20"
"Sep 02, 2022","$17.83","$18.29","$17.78","$18.07"
"Sep 01, 2022","$18.00","$18.02","$17.56","$17.91"
"Aug 31, 2022","$18.55","$18.55","$17.94","$18.02"
"Aug 30, 2022","$18.80","$18.85","$18.36","$18.55"
"Aug 29, 2022","$19.12","$19.12","$18.52","$18.80"
"Aug 26, 2022","$19.34","$19.44","$18.83","$18.92"
"Aug 25, 2022","$19.15","$19.41","$19.11","$19.34"
"Aug 24, 2022","$19.21","$19.24","$18.96","$19.20"
"Aug 23, 2022","$19.02","$19.28","$18.80","$19.21"
"Aug 22, 2022","$19.06","$19.16","$18.72","$19.05"
"Aug 19, 2022","$19.59","$19.60","$19.03","$19.06"
"Aug 18, 2022","$19.81","$19.94","$19.49","$19.57"
"Aug 17, 2022","$20.24","$20.29","$19.70","$19.88"
"Aug 16, 2022","$20.31","$20.33","$19.92","$20.24"
"Aug 15, 2022","$20.83","$20.92","$20.10","$20.30"
"Aug 12, 2022","$20.39","$20.84","$20.25","$20.83"
"Aug 11, 2022","$20.60","$20.64","$20.25","$20.39"
"Aug 10, 2022","$20.55","$20.85","$20.36","$20.59"
"Aug 09, 2022","$20.73","$20.75","$20.42","$20.55"
"Aug 08, 2022","$19.89","$20.75","$19.81","$20.73"
"Aug 05, 2022","$20.23","$20.33","$19.56","$19.91"
"Aug 04, 2022","$20.08","$20.40","$19.97","$20.21"
"Aug 03, 2022","$20.00","$20.18","$19.79","$20.08"
"Aug 02, 2022","$20.39","$20.52","$19.96","$20.00"
"Aug 01, 2022","$20.35","$20.52","$20.09","$20.38"
"Jul 29, 2022","$20.01","$20.39","$19.86","$20.39"
"Jul 28, 2022","$19.13","$20.10","$19.06","$20.02"
"Jul 27, 2022","$18.66","$19.19","$18.46","$19.18"
"Jul 26, 2022","$18.45","$18.73","$18.39","$18.69"
"Jul 25, 2022","$18.63","$18.80","$18.33","$18.45"
"Jul 22, 2022","$18.86","$18.96","$18.52","$18.64"
"Jul 21, 2022","$18.71","$18.90","$18.25","$18.89"
"Jul 20, 2022","$18.79","$19.11","$18.66","$18.71"
"Jul 19, 2022","$18.73","$18.92","$18.59","$18.78"
"Jul 18, 2022","$18.75","$19.02","$18.65","$18.73"
"Jul 15, 2022","$18.44","$18.80","$18.20","$18.74"
"Jul 14, 2022","$19.27","$19.27","$18.15","$18.43"
"Jul 13, 2022","$18.98","$19.42","$18.86","$19.25"
"Jul 12, 2022","$19.14","$19.21","$18.75","$18.98"
"Jul 11, 2022","$19.31","$19.38","$19.07","$19.18"
"Jul 08, 2022","$19.26","$19.46","$19.02","$19.33"
"Jul 07, 2022","$19.22","$19.49","$19.11","$19.23"
"Jul 06, 2022","$19.26","$19.40","$18.93","$19.28"
"Jul 05, 2022","$20.00","$20.21","$19.11","$19.25"
"Jul 04, 2022","$19.91","$20.03","$19.78","$20.01"
"Jul 01, 2022","$20.31","$20.31","$19.40","$19.92"
"Jun 30, 2022","$20.75","$20.83","$20.22","$20.31"
"Jun 29, 2022","$20.84","$21.07","$20.64","$20.80"
"Jun 28, 2022","$21.21","$21.37","$20.81","$20.94"
"Jun 27, 2022","$21.24","$21.55","$21.10","$21.21"
"Jun 24, 2022","$20.99","$21.23","$20.62","$21.18"
"Jun 23, 2022","$21.46","$21.52","$20.93","$20.99"
"Jun 22, 2022","$21.78","$21.78","$21.25","$21.43"
"Jun 21, 2022","$21.64","$21.95","$21.50","$21.78"
"Jun 20, 2022","$21.71","$21.85","$21.48","$21.64"
"Jun 17, 2022","$21.98","$21.98","$21.58","$21.69"
"Jun 16, 2022","$21.68","$22.02","$21.36","$21.98"
"Jun 15, 2022","$21.07","$21.85","$21.01","$21.70"
"Jun 14, 2022","$21.12","$21.39","$20.90","$21.10"
"Jun 13, 2022","$21.97","$22.13","$20.97","$21.12"
"Jun 10, 2022","$21.74","$22.00","$21.29","$21.92"
"Jun 09, 2022","$22.15","$22.15","$21.56","$21.77"
"Jun 08, 2022","$22.26","$22.27","$21.82","$22.08"
"Jun 07, 2022","$22.10","$22.30","$21.87","$22.30"
"Jun 06, 2022","$21.99","$22.53","$21.90","$22.18"
"Jun 03, 2022","$22.34","$22.49","$21.85","$21.96"
"Jun 02, 2022","$21.86","$22.38","$21.77","$22.38"
"Jun 01, 2022","$21.57","$21.98","$21.44","$21.84"
"May 31, 2022","$22.01","$22.04","$21.49","$21.59"
"May 30, 2022","$22.13","$22.29","$21.92","$21.99"
"May 27, 2022","$22.04","$22.46","$21.95","$22.15"
"May 26, 2022","$21.99","$22.09","$21.73","$22.09"
"May 25, 2022","$22.18","$22.19","$21.75","$22.05"
"May 24, 2022","$21.81","$22.22","$21.68","$22.18"
"May 23, 2022","$21.83","$22.20","$21.68","$21.86"
"May 20, 2022","$21.95","$22.09","$21.61","$21.78"
"May 19, 2022","$21.43","$22.00","$21.29","$21.99"
"May 18, 2022","$21.65","$21.76","$21.38","$21.44"
"May 17, 2022","$21.64","$21.93","$21.52","$21.65"
"May 16, 2022","$21.12","$21.69","$20.85","$21.65"
"May 13, 2022","$20.71","$21.16","$20.47","$21.14"
"May 12, 2022","$21.59","$21.67","$20.63","$20.69"
"May 11, 2022","$21.29","$21.97","$21.25","$21.59"
"May 10, 2022","$21.80","$22.11","$21.19","$21.28"
"May 09, 2022","$22.35","$22.40","$21.70","$21.81"
"May 06, 2022","$22.52","$22.65","$22.11","$22.39"
"May 05, 2022","$23.04","$23.29","$22.33","$22.52"
"May 04, 2022","$22.43","$23.10","$22.22","$23.00"
"May 03, 2022","$22.66","$22.85","$22.43","$22.59"
"May 02, 2022","$22.77","$22.89","$22.13","$22.65"
"Apr 29, 2022","$23.16","$23.57","$22.69","$22.77"
"Apr 28, 2022","$23.32","$23.42","$22.90","$23.35"
"Apr 27, 2022","$23.53","$23.70","$23.25","$23.29"
"Apr 26, 2022","$23.64","$23.94","$23.41","$23.54"
"Apr 25, 2022","$24.13","$24.25","$23.41","$23.50"
"Apr 22, 2022","$24.66","$24.68","$24.06","$24.17"
"Apr 21, 2022","$25.21","$25.21","$24.33","$24.44"
"Apr 20, 2022","$25.20","$25.30","$24.90","$25.14"
"Apr 19, 2022","$25.88","$26.01","$25.07","$25.21"
"Apr 18, 2022","$25.65","$26.23","$25.63","$25.88"
"Apr 15, 2022","$25.68","$25.70","$25.34","$25.34"
"Apr 14, 2022","$25.75","$25.88","$25.30","$25.68"
"Apr 13, 2022","$25.39","$25.84","$25.36","$25.76"
"Apr 12, 2022","$25.10","$25.62","$24.88","$25.39"
"Apr 11, 2022","$24.77","$25.38","$24.68","$25.12"
"Apr 08, 2022","$24.61","$24.82","$24.38","$24.79"
"Apr 07, 2022","$24.46","$24.67","$24.25","$24.65"
"Apr 06, 2022","$24.36","$24.58","$24.13","$24.47"
"Apr 05, 2022","$24.56","$24.96","$24.23","$24.35"
"Apr 04, 2022","$24.64","$24.86","$24.29","$24.57"
"Apr 01, 2022","$24.82","$24.87","$24.43","$24.65"
"Mar 31, 2022","$24.90","$25.10","$24.58","$24.84"
"Mar 30, 2022","$24.80","$25.08","$24.71","$24.83"
"Mar 29, 2022","$24.88","$25.02","$23.97","$24.80"
"Mar 28, 2022","$25.49","$25.62","$24.80","$24.84"
"Mar 25, 2022","$25.57","$25.73","$25.27","$25.56"
"Mar 24, 2022","$25.12","$25.86","$24.97","$25.53"
"Mar 23, 2022","$24.79","$25.22","$24.68","$25.14"
"Mar 22, 2022","$25.21","$25.39","$24.58","$24.79"
"Mar 21, 2022","$25.02","$25.32","$24.89","$25.21"
"Mar 18, 2022","$25.39","$25.45","$24.84","$24.99"
"Mar 17, 2022","$25.12","$25.55","$25.02","$25.39"
"Mar 16, 2022","$24.92","$25.12","$24.48","$25.11"
"Mar 15, 2022","$25.09","$25.13","$24.55","$24.92"
"Mar 14, 2022","$25.96","$25.96","$24.94","$25.07"
"Mar 11, 2022","$25.93","$26.01","$25.42","$25.87"
"Mar 10, 2022","$25.79","$26.08","$25.32","$25.93"
"Mar 09, 2022","$26.44","$26.79","$25.41","$25.79"
"Mar 08, 2022","$25.69","$26.96","$25.37","$26.44"
"Mar 07, 2022","$25.90","$26.16","$25.30","$25.69"
"Mar 04, 2022","$25.20","$25.75","$25.06","$25.74"
"Mar 03, 2022","$25.29","$25.49","$24.98","$25.20"
"Mar 02, 2022","$25.42","$25.45","$24.88","$25.29"
"Mar 01, 2022","$24.47","$25.55","$24.29","$25.42"
"Feb 28, 2022","$24.65","$24.69","$24.10","$24.47"
"Feb 25, 2022","$24.24","$24.51","$23.88","$24.25"
"Feb 24, 2022","$24.56","$25.63","$23.85","$24.24"
"Feb 23, 2022","$24.11","$24.60","$24.04","$24.56"
"Feb 22, 2022","$24.00","$24.37","$23.91","$24.11"
"Feb 21, 2022","$24.13","$24.13","$23.70","$24.00"
"Feb 18, 2022","$23.84","$24.10","$23.69","$23.94"
"Feb 17, 2022","$23.59","$23.93","$23.43","$23.84"
"Feb 16, 2022","$23.38","$23.67","$23.29","$23.59"
"Feb 15, 2022","$23.87","$23.99","$23.08","$23.38"
"Feb 14, 2022","$23.59","$23.95","$23.53","$23.87"
"Feb 11, 2022","$23.20","$23.70","$22.87","$23.60"
"Feb 10, 2022","$23.32","$23.72","$23.14","$23.20"
"Feb 09, 2022","$23.20","$23.36","$23.10","$23.32"
"Feb 08, 2022","$23.02","$23.27","$22.78","$23.20"
"Feb 07, 2022","$22.53","$23.11","$22.53","$23.02"
"Feb 04, 2022","$22.43","$22.68","$22.12","$22.52"
"Feb 03, 2022","$22.66","$22.68","$22.01","$22.43"
"Feb 02, 2022","$22.65","$22.87","$22.47","$22.66"
"Feb 01, 2022","$22.47","$23.05","$22.41","$22.65"
"Jan 31, 2022","$22.45","$22.65","$22.26","$22.47"
"Jan 28, 2022","$22.77","$22.83","$22.16","$22.46"
"Jan 27, 2022","$23.52","$23.61","$22.58","$22.77"
"Jan 26, 2022","$23.82","$23.98","$23.45","$23.52"
"Jan 25, 2022","$24.01","$24.02","$23.61","$23.82"
"Jan 24, 2022","$24.26","$24.32","$23.57","$24.01"
"Jan 21, 2022","$24.48","$24.59","$24.18","$24.28"
"Jan 20, 2022","$24.16","$24.71","$24.08","$24.48"
"Jan 19, 2022","$23.48","$24.22","$23.40","$24.16"
"Jan 18, 2022","$23.03","$23.64","$22.82","$23.48"
"Jan 17, 2022","$22.97","$23.12","$22.84","$23.03"
"Jan 14, 2022","$23.09","$23.32","$22.83","$22.98"
"Jan 13, 2022","$23.15","$23.28","$23.00","$23.09"
"Jan 12, 2022","$22.79","$23.23","$22.65","$23.15"
"Jan 11, 2022","$22.48","$22.82","$22.45","$22.79"
"Jan 10, 2022","$22.36","$22.53","$22.20","$22.48"
"Jan 07, 2022","$22.19","$22.45","$21.95","$22.34"
"Jan 06, 2022","$22.80","$22.84","$22.01","$22.19"
"Jan 05, 2022","$23.05","$23.27","$22.73","$22.80"
"Jan 04, 2022","$22.91","$23.11","$22.65","$23.05"
"Jan 03, 2022","$23.36","$23.41","$22.68","$22.91"
"Dec 31, 2021","$23.05","$23.36","$23.05","$23.32"
"Dec 30, 2021","$22.83","$23.12","$22.61","$23.05"
"Dec 29, 2021","$23.02","$23.17","$22.60","$22.83"
"Dec 28, 2021","$23.07","$23.44","$22.97","$23.02"
"Dec 27, 2021","$22.87","$23.13","$22.65","$23.07"
"Dec 24, 2021","$22.91","$23.07","$22.89","$23.00"
"Dec 23, 2021","$22.80","$22.94","$22.66","$22.91"
"Dec 22, 2021","$22.51","$22.84","$22.45","$22.80"
"Dec 21, 2021","$22.27","$22.80","$22.19","$22.51"
"Dec 20, 2021","$22.40","$22.48","$22.20","$22.27"
"Dec 17, 2021","$22.48","$22.69","$22.37","$22.39"
"Dec 16, 2021","$22.09","$22.54","$21.92","$22.48"
